ID,critical_distance,direction,bearing
280,12, buffer,999
281,12, buffer,999
282,12, buffer,999
283,12, buffer,999
284,12, buffer,999
285,12, buffer,999
286,12, buffer,999
287,12, buffer,999
288,12, buffer,999
289,12, buffer,999
290,12, buffer,999
291,12, buffer,999
292,12, buffer,999
293,12, buffer,999
294,12, buffer,999
295,12, buffer,999
296,12, buffer,999
297,12, buffer,999
298,12, buffer,999
299,12, buffer,999
300,12, buffer,999
301,12, buffer,999
302,12, buffer,999
303,12, buffer,999
304,12, buffer,999
305,12, buffer,999
306,12, buffer,999
307,12, buffer,999
308,12, buffer,999
309,12, buffer,999
310,12, buffer,999
311,12, buffer,999
312,12, buffer,999
313,12, buffer,999
314,12, buffer,999
315,12, buffer,999
316,12, buffer,999
317,12, buffer,999
318,12, buffer,999
319,12, buffer,999
320,12, buffer,999
321,12, buffer,999
322,12, buffer,999
323,12, buffer,999
324,12, buffer,999
325,12, buffer,999
326,12, buffer,999
327,12, buffer,999
328,12, buffer,999
329,12, buffer,999
330,12, buffer,999
331,12, buffer,999
332,12, buffer,999
333,12, buffer,999
334,12, buffer,999
335,12, buffer,999
336,12, buffer,999
337,12, buffer,999
338,12, buffer,999
339,12, buffer,999
340,12, buffer,999
341,12, buffer,999
342,12, buffer,999
343,12, buffer,999
344,12, buffer,999
345,12, buffer,999
346,12, buffer,999
347,12, buffer,999
348,12, buffer,999
349,12, buffer,999
350,12, buffer,999
351,12, buffer,999
352,12, buffer,999
353,12, buffer,999
354,12, buffer,999
355,12, buffer,999
356,12, buffer,999
357,12, buffer,999
358,12, buffer,999
359,12, buffer,999
360,12, buffer,999
361,12, buffer,999
362,12, buffer,999
363,12, buffer,999
364,12, buffer,999
365,12, buffer,999
366,12, buffer,999
367,12, buffer,999
368,12, buffer,999
369,12, buffer,999
370,12, buffer,999
371,12, buffer,999
372,12, buffer,999
373,12, buffer,999
374,12, buffer,999
375,12, buffer,999
376,12, buffer,999
377,12, buffer,999
378,12, buffer,999
379,12, buffer,999
380,12, buffer,999
381,12, buffer,999
382,12, buffer,999
383,12, buffer,999
384,12, buffer,999
385,12, buffer,999
386,12, buffer,999
387,12, buffer,999
388,12, buffer,999
389,12, buffer,999
390,12, buffer,999
391,12, buffer,999
392,12, buffer,999
393,12, buffer,999
394,12, buffer,999
395,12, buffer,999
396,12, buffer,999
397,12, buffer,999
398,12, buffer,999
399,12, buffer,999
400,12, buffer,999
401,12, buffer,999
402,12, buffer,999
403,12, buffer,999
404,12, buffer,999
405,12, buffer,999
406,12, buffer,999
407,12, buffer,999
408,12, buffer,999
409,12, buffer,999
410,12, buffer,999
411,12, buffer,999
412,12, buffer,999
413,12, buffer,999
414,12, buffer,999
415,12, buffer,999
416,12, buffer,999
417,12, buffer,999
418,12, buffer,999
419,12, buffer,999
420,12, buffer,999
421,12, buffer,999
422,12, buffer,999
423,12, buffer,999
424,12, buffer,999
425,12, buffer,999
426,12, buffer,999
427,12, buffer,999
428,12, buffer,999
429,12, buffer,999
430,12, buffer,999
431,12, buffer,999
432,12, buffer,999
433,12, buffer,999
434,12, buffer,999
435,12, buffer,999
436,12, buffer,999
437,12, buffer,999
438,12, buffer,999
439,12, buffer,999
440,12, buffer,999
441,12, buffer,999
442,12, buffer,999
443,12, buffer,999
444,12, buffer,999
445,12, buffer,999
446,12, buffer,999
447,12, buffer,999
448,12, buffer,999
449,12, buffer,999
450,12, buffer,999
451,12, buffer,999
452,12, buffer,999
453,12, buffer,999
454,12, buffer,999
455,12, buffer,999
456,12, buffer,999
457,12, buffer,999
458,12, buffer,999
459,12, buffer,999
460,12, buffer,999
461,12, buffer,999
462,12, buffer,999
463,12, buffer,999
464,12, buffer,999
465,12, buffer,999
466,12, buffer,999
467,12, buffer,999
468,12, buffer,999
469,12, buffer,999
470,12, buffer,999
471,12, buffer,999
472,12, buffer,999
473,12, buffer,999
474,12, buffer,999
475,12, buffer,999
476,12, buffer,999
477,12, buffer,999
478,12, buffer,999
479,12, buffer,999
480,12, buffer,999
481,12, buffer,999
482,12, buffer,999
483,12, buffer,999
484,12, buffer,999
485,12, buffer,999
486,12, buffer,999
487,12, buffer,999
488,12, buffer,999
489,12, buffer,999
490,12, buffer,999
491,12, buffer,999
492,12, buffer,999
493,12, buffer,999
494,12, buffer,999
495,12, buffer,999
496,12, buffer,999
497,12, buffer,999
498,12, buffer,999
499,12, buffer,999
500,12, buffer,999
501,12, buffer,999
502,12, buffer,999
503,12, buffer,999
504,12, buffer,999
505,12, buffer,999
506,12, buffer,999
507,12, buffer,999
508,12, buffer,999
509,12, buffer,999
510,12, buffer,999
511,12, buffer,999
512,12, buffer,999
513,12, buffer,999
514,12, buffer,999
515,12, buffer,999
516,12, buffer,999
517,12, buffer,999
518,12, buffer,999
519,12, buffer,999
520,12, buffer,999
521,12, buffer,999
522,12, buffer,999
523,12, buffer,999
524,12, buffer,999
525,12, buffer,999
526,12, buffer,999
527,12, buffer,999
528,12, buffer,999
529,12, buffer,999
530,12, buffer,999
531,12, buffer,999
532,12, buffer,999
533,12, buffer,999
534,12, buffer,999
535,12, buffer,999
536,12, buffer,999
537,12, buffer,999
538,12, buffer,999
539,12, buffer,999
540,12, buffer,999
541,12, buffer,999
542,12, buffer,999
543,12, buffer,999
544,12, buffer,999
545,12, buffer,999
546,12, buffer,999
547,12, buffer,999
548,12, buffer,999
549,12, buffer,999
550,12, buffer,999
551,12, buffer,999
552,12, buffer,999
553,12, buffer,999
554,12, buffer,999
555,12, buffer,999
556,12, buffer,999
557,12, buffer,999
558,12, buffer,999
559,12, buffer,999
560,12, buffer,999
561,12, buffer,999
562,12, buffer,999
563,12, buffer,999
564,12, buffer,999
565,12, buffer,999
566,12, buffer,999
567,12, buffer,999
568,12, buffer,999
569,12, buffer,999
570,12, buffer,999
571,12, buffer,999
572,12, buffer,999
573,12, buffer,999
574,12, buffer,999
575,12, buffer,999
576,12, buffer,999
577,12, buffer,999
578,12, buffer,999
579,12, buffer,999
580,12, buffer,999
581,12, buffer,999
582,12, buffer,999
583,12, buffer,999
584,12, buffer,999
585,12, buffer,999
586,12, buffer,999
587,12, buffer,999
588,12, buffer,999
